Produto/Unidade,Nível de Comercialização,U.F.,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015
BORRACHA CERNAMBI VIRGEM PRENSADO (kg),PRODUTOR,AC,"1,50","1,50","1,50","1,55","1,60","1,60","1,60","1,65","1,70","1,70","1,70","1,70"
BORRACHA FOLHA DE DEFUMAÇÃO LÍQUIDA-FDL (kg),PRODUTOR,AC,"7,00","7,00","7,00","7,00","7,00","7,00","7,00","7,00","7,00","7,00","7,00","7,00"
CAFÉ CONILLON (60 kg),PRODUTOR,AC,"238,00","250,00","250,00","250,00","244,00","240,00","237,00","242,50","241,00","185,30","136,25","156,25"
CAFÉ CONILLON TIPO 7 (60 kg),PRODUTOR,AC,,,,,,,,,,,,"225,00"
CASTANHA DO BRASIL EM CASCA (10 kg),PRODUTOR,AC,"28,00","28,00","28,00","29,25","32,20","30,75","30,40",,,,"23,67","22,00"
FARINHA DE MANDIOCA EXTRA FINA SECA (50 kg),PRODUTOR,AC,,,,,,,,,,,"71,36","76,75"
FARINHA DE MANDIOCA TORRADA MÉDIA AMARELA (50 kg),PRODUTOR,AC,"150,00","150,00","150,00","148,25","135,60","135,00","130,00","86,50","79,50","79,96","77,25","75,00"
FARINHA DE MANDIOCA TORRADA MÉDIA BRANCA (50 kg),PRODUTOR,AC,"125,00","125,00","125,00","118,63","105,00","105,00","103,00","79,38","75,38","72,82","69,88","70,00"
FEIJÃO COMUM CORES (60 kg),PRODUTOR,AC,"160,58","160,52","160,52","170,91","208,30","211,04","205,92","160,70","151,83","135,45",,
INHAME (kg),PRODUTOR,AC,,,,,,,,,,,,"2,60"
LARANJA PERA (20 kg),PRODUTOR,AC,,,,,,,,,,,,"30,00"
LEITE DE VACA (l),PRODUTOR,AC,"0,80","0,80","0,80","0,85","0,90","0,90","0,90","0,90","0,90","0,90","0,90","0,90"
LEITE DE VACA IN NATURA (l),PRODUTOR,AC,,,,,,,,,,,"0,85","0,85"
MARACUJÁ (kg),PRODUTOR,AC,,,,,,,,,,,"2,28","2,45"
MILHO EM GRÃOS (50 kg),PRODUTOR,AC,,,,,,,,,,"27,43","28,19",
MILHO EM GRÃOS (60 kg),PRODUTOR,AC,"28,00","28,00","28,00","28,00","28,00","28,08","28,21","29,00","31,11","31,90",,
OVOS DE GALINHA GRANDE BRANCO (dz),PRODUTOR,AC,,,,,,,,,,"2,90","2,76","2,77"
POLVILHO (kg),PRODUTOR,AC,,,,,,,,,,,"2,57","2,75"
RAIZ DE MANDIOCA DE MESA (kg),PRODUTOR,AC,"1,00","1,00","1,00","1,08","1,25","1,25","1,24","1,14","1,19","1,18","1,16","1,07"
RAIZ DE MANDIOCA PARA FARINHA (t),PRODUTOR,AC,,,,,,,,,,,"520,45","550,00"
ARROZ LONGO FINO BENEFICIADO TIPO 1 (kg),VAREJO,AC,,,,,,,,,,,"2,61","2,84"
ARROZ LONGO FINO BENEFICIADO TIPO 2 (kg),VAREJO,AC,,,,,,,,,,,"2,25","2,39"
CARNE BOVINA PONTA DE AGULHA (kg),VAREJO,AC,,,,,,,,,,"10,90","10,10","9,91"
CARNE DE FRANGO CONGELADO (kg),VAREJO,AC,,,,,,,,,,"4,25","4,45","4,85"
CEBOLA (kg),VAREJO,AC,,,,,,,,,,,"3,39","3,64"
FARINHA DE TRIGO COMUM (kg),VAREJO,AC,,,,,,,,,,,"2,68","2,78"
FEIJÃO COMUM CORES TIPO 1 (kg),VAREJO,AC,,,,,,,,,,,,"4,00"
FLOCOS DE MILHO ENRIQUECIDO (kg),VAREJO,AC,,,,,,,,,,,"2,38","2,25"
LEITE DE VACA LONGA VIDA INTEGRAL (l),VAREJO,AC,,,,,,,,,,,"3,18","3,06"
MACARRÃO ESPAGUETE SÊMOLA COM OVOS (kg),VAREJO,AC,,,,,,,,,,,"4,50","4,41"
PÃO FRANCÊS (kg),VAREJO,AC,,,,,,,,,,,"8,99","8,99"
RAIZ DE MANDIOCA DE MESA (kg),VAREJO,AC,,,,,,,,,,,"2,10","2,24"
ABACAXI (un),ATACADO,AL,,,,,,,,"3,00",,"2,50","2,63","2,50"
ALHO (kg),ATACADO,AL,,,,,,,,"6,00",,"12,40","13,00","15,88"
ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg),ATACADO,AL,,,,,,,,,,,,"79,83"
ARROZ LONGO FINO BENEFICIADO TIPO 2 (30 kg),ATACADO,AL,,,,,,,,,,,,"64,50"
AÇÚCAR CRISTAL (30 kg),ATACADO,AL,,,,,,,,,,,,"64,80"
BANANA NANICA (kg),ATACADO,AL,,,,,,,,"3,00",,"3,84","2,00","1,00"
BANANA PRATA (kg),ATACADO,AL,,,,,,,,"2,50",,"1,59","1,69","1,61"
BATATA INGLESA (kg),ATACADO,AL,,,,,,,,"1,60",,"2,01","3,19","3,13"
BATATA-DOCE (kg),ATACADO,AL,,,,,,,,"1,20",,"1,12","1,30","1,31"
CAFÉ MOÍDO E TORRADO (10 kg),ATACADO,AL,,,,,,,,,,,,"138,27"
CARNE BOVINA DIANTEIRO COM OSSO (kg),ATACADO,AL,,,,,,,,,,"9,26","9,13","9,10"
CARNE DE FRANGO CONGELADO (kg),ATACADO,AL,"6,08","6,20","6,28","6,83","7,22","7,50","7,32","6,85","6,75","5,72","5,69","5,89"
CARNE DE FRANGO RESFRIADO (kg),ATACADO,AL,,,,,,,,,,"6,10","6,53","6,90"
CARNE SUÍNA CONGELADO PERNIL COM OSSO (12 kg),ATACADO,AL,,,,,,,,,,"141,63","144,72","150,90"
CARÁ (kg),ATACADO,AL,,,,,,,,"3,66",,"3,50","3,44","3,75"
CEBOLA (kg),ATACADO,AL,,,,,,,,"3,00",,"1,54","2,19","2,56"
COCO VERDE (un),ATACADO,AL,,,,,,,,"1,00",,"1,06","1,29","1,38"
FARINHA DE MANDIOCA (50 kg),ATACADO,AL,"83,05","55,56","56,25","66,25","82,00","90,00","85,60","83,75","85,75","69,28","69,03","68,00"
FARINHA DE TRIGO (50 kg),ATACADO,AL,"120,00","118,75","115,00","117,75","114,60","110,75","109,60","107,00","107,50","97,88","97,00","101,96"
FEIJÃO CAUPI TIPO 1 (30 kg),ATACADO,AL,,,,,,,,,,,,"100,80"
FEIJÃO COMUM CORES (60 kg),ATACADO,AL,"152,00","180,00","183,75","183,75","192,00","171,25","171,60","170,00","170,00","151,44","156,25","177,50"
FEIJÃO COMUM CORES TIPO 1 (30 kg),ATACADO,AL,,,,,,,,,,,,"131,69"
FEIJÃO COMUM CORES TIPO 2 (30 kg),ATACADO,AL,,,,,,,,,,,,"72,45"
FEIJÃO COMUM PRETO TIPO 1 (30 kg),ATACADO,AL,,,,,,,,,,,,"125,74"
INHAME (kg),ATACADO,AL,,,,,,,,"4,00",,"4,00","4,38","5,25"
LEITE DE VACA EM PÓ INTEGRAL (20 kg),ATACADO,AL,,,,,,,,,,,,"314,92"
MACARRÃO ESPAGUETE SÊMOLA COM OVOS (10 kg),ATACADO,AL,,,,,,,,,,,,"54,13"
MAMÃO FORMOSA (kg),ATACADO,AL,,,,,,,,"1,10",,"1,15","1,19","1,26"
MARACUJÁ AZEDO (kg),ATACADO,AL,,,,,,,,"1,25",,"2,40","2,44","2,19"
MAÇÃ NACIONAL (kg),ATACADO,AL,,,,,,,,"2,50",,"3,65","3,38","3,00"
MILHO EM GRÃOS (60 kg),ATACADO,AL,,,,,,,"35,00","35,00","42,68","43,33","40,50","44,50"
OLEO DE SOJA REFINADO (20 latas),ATACADO,AL,,,,,,,,,,,,"61,80"
OVOS DE GALINHA BRANCO (A) (30 dz),ATACADO,AL,"86,00","86,00","85,00","88,00","87,60","87,50","87,20","88,00","88,50","84,17","84,33","86,75"
PIMENTÃO VERDE (kg),ATACADO,AL,,,,,,,,"5,00",,"2,75","1,94","3,00"
QUIABO (kg),ATACADO,AL,,,,,,,,"10,00",,"6,80","6,50","4,63"
TANGERINA (kg),ATACADO,AL,,,,,,,,,,"2,08","1,94","1,13"
TOMATE (kg),ATACADO,AL,,,,,,,,"2,50",,"2,05","3,13","3,13"
ARROZ EM CASCA (50 kg),PRODUTOR,AL,"52,60","52,00","52,25","53,00","52,80","54,00","54,00","54,00","54,00","54,00",,"40,00"
ARROZ LONGO EM CASCA (50 kg),PRODUTOR,AL,,,,,,,,,,,,"40,00"
ARROZ LONGO FINO EM CASCA (50 kg),PRODUTOR,AL,,,,,,,,,,,,"40,00"
CANA DE AÇÚCAR (t),PRODUTOR,AL,"60,01","57,60","59,91","62,82","62,44","61,11","64,83","66,44","66,87","68,17","72,24","74,82"
CASTANHA DE CAJU EM CASCA (kg),PRODUTOR,AL,"2,30","2,32","2,39","2,50","2,50","2,50","2,50","2,45","2,45","2,45",,
FARINHA DE MANDIOCA (50 kg),PRODUTOR,AL,"66,00","45,00","46,00","55,75","70,00","67,50","53,60","49,50","50,00","50,00",,"55,00"
FEIJÃO COMUM CORES (60 kg),PRODUTOR,AL,"133,00","155,00","170,00","168,75","179,00","158,75","151,00","150,00","150,00","155,00",,
INHAME (kg),PRODUTOR,AL,"3,38","3,53","3,63","3,95","4,00","3,70","3,42","3,33","3,36","3,40",,
LARANJA LIMA (1 cento),PRODUTOR,AL,"16,30","15,75","15,25","16,50","15,20","13,00","12,60","12,00","12,00","12,00",,"20,00"
LEITE DE CABRA (l),PRODUTOR,AL,"2,38","2,38","2,39","2,40","2,45","2,50","2,50","2,50","2,51","2,55",,
LEITE DE VACA (l),PRODUTOR,AL,"1,35","1,35","1,35","1,35","1,40","1,45","1,48","1,54","1,56","1,58",,
MILHO EM GRÃOS (60 kg),PRODUTOR,AL,"32,40","34,35","35,00","35,00","36,40","40,75","34,40","33,00","35,00",,,
RAIZ DE MANDIOCA PARA FARINHA (t),PRODUTOR,AL,"152,00","157,00","160,00","173,75","259,00","287,50","187,00","170,00","170,00","172,50",,
SUÍNO VIVO (kg),PRODUTOR,AL,"8,68","9,00","9,00","9,00","8,50","8,00","8,00","8,00","8,00","8,00",,
ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg),ATACADO,AM,"68,60","65,73","70,00","69,08","65,86","65,00","66,37","66,58","65,00","65,00","65,00","66,00"
ARROZ LONGO FINO BENEFICIADO TIPO 2 (30 kg),ATACADO,AM,"58,74","58,95","61,95","62,95","63,00","62,63","60,56","60,00","60,00","60,00",,
AÇÚCAR CRISTAL (30 kg),ATACADO,AM,,,,,,,,,,,"60,00","65,50"
CAFÉ ARÁBICA (kg),ATACADO,AM,"12,31","12,66","13,20","12,65","11,95","11,10","11,16","12,75","12,30","12,48","12,83","13,10"
CARNE BOVINA DIANTEIRO COM OSSO (15 kg),ATACADO,AM,,,,,,,,,,"131,25","133,88","135,00"
CARNE DE FRANGO CONGELADO (kg),ATACADO,AM,"4,24","4,23","4,31","4,32","4,40","4,43","4,34","4,58","4,86","4,90","5,18","5,67"
CASTANHA DO BRASIL BENEFICIADA (20 kg),ATACADO,AM,,,,,,,,,,,"780,00","780,00"
CASTANHA DO BRASIL BENEFICIADA (kg),ATACADO,AM,"34,00","34,00","34,00","34,00","34,00","34,00","34,00","34,00","34,00","34,00","39,00","39,00"
FARINHA DE MANDIOCA AMARELA (kg),ATACADO,AM,"3,08","2,46","2,22","2,32","2,03","1,79","1,71","1,58","1,63","2,16","2,24","1,96"
FARINHA DE MANDIOCA BRANCO (A) (kg),ATACADO,AM,"2,96","2,71","2,47","2,52","2,17","1,68","1,68","1,68","1,68","1,96","2,00","1,75"
FEIJÃO CAUPI TIPO 1 (30 kg),ATACADO,AM,,,,,,,,,,,,"78,00"
FEIJÃO COMUM CORES (30 kg),ATACADO,AM,"93,60","101,25","108,75","111,75","109,80","99,13","101,90","96,75","91,50","96,40","103,00","110,25"
FEIJÃO COMUM PRETO TIPO 1 (30 kg),ATACADO,AM,,,,,,,,,,,"100,00","112,50"
FLOCOS DE MILHO FLOCÃO (10 kg),ATACADO,AM,,,,,,,,,,,,"33,00"
LEITE DE VACA EM PÓ INTEGRAL (kg),ATACADO,AM,"17,20","17,38","17,93","17,47","14,61","12,58","13,10","16,48","16,80","16,80","16,73","16,54"
LEITE DE VACA LONGA VIDA INTEGRAL (12 l),ATACADO,AM,,,,,,,,,,,"33,48","33,39"
MACARRÃO ESPAGUETE SÊMOLA COM OVOS (10 kg),ATACADO,AM,,,,,,,,,,,"31,00","29,64"
MILHO EM GRÃOS (60 kg),ATACADO,AM,"48,29","48,06","48,80","48,99","49,89","49,49","49,14",,,,,
OLEO DE SOJA REFINADO (20 latas),ATACADO,AM,,,,,,,,,,,"72,00","74,75"
OVOS DE GALINHA GRANDE BRANCO (30 dz),ATACADO,AM,,,,,,,,,,"93,50","99,10","104,00"
OVOS DE GALINHA TIPO A BRANCO (300 dz),ATACADO,AM,,,,,,,,,,,,"108,00"
ABACAXI PÉROLA (kg),PRODUTOR,AM,"1,76","1,58","1,46","1,48","1,75","1,71","1,87","2,58","1,94","2,12","2,55","1,69"
AMÊNDOA DE ANDIROBA (kg),PRODUTOR,AM,"1,29","0,99","0,96","1,11","0,96","0,94","0,80",,,,"1,00","1,00"
AMÊNDOA DE CACAU (kg),PRODUTOR,AM,"4,31","4,73","4,86","4,65","4,46","4,65","4,83","4,96","4,94","4,63","4,60","4,59"
ARROZ EM CASCA (60 kg),PRODUTOR,AM,"55,37","55,37","55,37","55,37","49,40","57,50","56,00","53,25","54,13","51,50","51,50","53,25"
AÇAÍ FRUTO (kg),PRODUTOR,AM,"1,55","1,43","1,20","1,23","1,07","1,22","1,15","0,90","0,93","1,75","2,22","2,73"
BANANA (kg),PRODUTOR,AM,"1,58","1,78","1,69","1,98","2,10","1,85","1,80","1,91","1,46","1,64","1,45","1,48"
BANANA PRATA (kg),PRODUTOR,AM,"2,25","1,85","1,81","1,99","2,00","2,00","2,00","2,00","2,00","2,11","1,95","2,08"
BATATA-DOCE (kg),PRODUTOR,AM,"1,94","2,40","2,23","1,88","2,10","2,00",,,,,,
BORRACHA CERNAMBI VIRGEM PRENSADO (kg),PRODUTOR,AM,"1,70","1,50","1,50","1,50","1,50","1,50","1,50","1,51","1,66","2,01","2,01","2,01"
CAFÉ CONILLON (kg),PRODUTOR,AM,"3,14","3,16","3,17","3,25","3,26","2,75","3,16","3,33","3,33","3,33","3,31","3,26"
CASTANHA DO BRASIL EM CASCA (hl),PRODUTOR,AM,"116,12","116,52","126,53","135,97","126,32","126,94","130,00",,,,,
CURIMATÃ (kg),PRODUTOR,AM,"2,28","2,08","3,16","2,28","1,85","2,07","2,19","2,43","1,30","1,17","1,28","1,40"
FARINHA DE MANDIOCA AMARELA (kg),PRODUTOR,AM,"2,17","1,69","1,88","2,05","2,02","1,82","1,72","1,68","1,87","1,94","2,03","1,69"
FARINHA DE MANDIOCA BRANCO (A) (kg),PRODUTOR,AM,"2,22","1,85","2,04","2,01","1,69","1,62","1,51","1,64","1,72","1,73","1,48","1,65"
FEIJÃO CAUPI (60 kg),PRODUTOR,AM,"93,60","90,00","90,00","90,00","90,00",,,,,,"90,00","90,00"
FEIJÃO COMUM CORES (60 kg),PRODUTOR,AM,"178,68","188,60","183,29","194,07","202,39","203,66","200,00","195,00","200,00","182,00","180,00","182,38"
FRANGO VIVO (un),PRODUTOR,AM,"25,40","25,00","25,25","24,75","25,00","25,00","25,00","25,00","25,00","25,00","25,00","24,75"
GUARANÁ TIPO 1 (kg),PRODUTOR,AM,"21,10","20,50","21,63","22,88","19,20","18,50",,,,"20,00","20,00","20,50"
JARAQUI (kg),PRODUTOR,AM,"2,32","2,51","2,67","2,39","1,86","1,72","2,61","2,66","1,98","1,66","2,19","1,90"
JUTA/MALVA EM BRUTO (kg) (kg),PRODUTOR,AM,,,"2,30","2,15","2,23","2,30","2,43","1,80","1,95","2,00","2,20",
LARANJA (kg),PRODUTOR,AM,"1,72","1,93","2,21","1,75","1,33","1,25","1,25","0,99","1,05","1,24","1,43","1,41"
LEITE DE VACA (l),PRODUTOR,AM,"1,20","1,16","1,20","1,23","1,24","1,28","1,30","1,34","1,38","1,40","1,40","1,38"
OVOS DE GALINHA GRANDE BRANCO (30 dz),PRODUTOR,AM,,,,,,,,,,"8,40","8,93","8,70"
PACU (kg),PRODUTOR,AM,,,"3,15","3,24","3,09","3,44","3,40","3,52","2,29","1,72","2,28","2,92"
PIAÇAVA NÃO BENEFICIADA (kg),PRODUTOR,AM,"1,90","1,90","1,90","1,95","2,00","1,95","2,05","2,10","1,93","1,85","1,86","1,85"
PIAÇAVA NÃO BENEFICIADA CABEÇA (kg),PRODUTOR,AM,"1,70","1,70","1,70","1,80","1,90","1,85","1,70","2,00","1,83","1,85","1,86","1,85"
QUEIJO DE COALHO (kg),PRODUTOR,AM,"19,30","19,50","20,00","20,63","20,60","21,44","21,15","20,50","21,00","21,25","21,88","22,38"
QUEIJO MUSSARELA DE LEITE DE VACA (kg),PRODUTOR,AM,"20,10","20,25","21,50","22,38","23,20","23,94","23,65","23,38","23,25","22,65","22,88","22,63"
RAIZ DE MANDIOCA PARA FARINHA (kg),PRODUTOR,AM,"1,12","1,01","1,07","1,04","0,69","0,71","0,77","0,73","0,79","0,87","0,88","0,83"
ÓLEO DE COPAÍBA (l),PRODUTOR,AM,"19,13","19,58","19,33","19,42","23,40","25,40","24,38","25,25","25,17","25,58","25,69","25,67"
CARNE DE FRANGO CONGELADO (kg),VAREJO,AM,,,,,,,,,,,"5,44","5,96"
CAFÉ MOÍDO E TORRADO (10 kg),ATACADO,AP,,,,,,,,,,,"66,74","66,10"
CARNE DE FRANGO CONGELADO (20 kg),ATACADO,AP,,,,,,,,,,,"121,70","117,57"
CARNE SUÍNA CONGELADO PERNIL COM OSSO (12 kg),ATACADO,AP,,,,,,,,,,,"107,95","119,91"
FARINHA DE MANDIOCA MÉDIA TIPO 2 SECA (30 kg),ATACADO,AP,,,,,,,,,,,"60,00","64,48"
FARINHA DE TRIGO ENRIQUECIDA TIPO 1 (kg),ATACADO,AP,,,,,,,,,,,"3,20","2,71"
FLOCOS DE MILHO PRE-COZIDO (kg),ATACADO,AP,,,,,,,,,,,,"1,91"
LEITE DE VACA EM PÓ INTEGRAL (kg),ATACADO,AP,,,,,,,,,,,"13,94","14,41"
LEITE DE VACA LONGA VIDA INTEGRAL (12 l),ATACADO,AP,,,,,,,,,,,"36,93","36,17"
MILHO EM GRÃOS (60 kg),ATACADO,AP,"47,64","48,00","45,00","45,00","43,32","45,00","43,16","45,00","47,85","51,52","52,00","50,75"
OLEO DE SOJA REFINADO (20 latas),ATACADO,AP,,,,,,,,,,,"66,50","66,20"
OVOS DE GALINHA GRANDE BRANCO (30 dz),ATACADO,AP,,,,,,,,,,,"95,51","100,48"
ABACAXI PÉROLA (kg),PRODUTOR,AP,"3,00","3,75","2,50","2,50","2,50","2,50","2,50","2,38","2,40","2,40","2,40","2,40"
AÇAÍ FRUTO (kg),PRODUTOR,AP,"2,72","2,72","2,72","2,72","2,72","2,72","2,72","1,83","1,39","1,74","1,95","2,13"
BANANA PRATA (kg),PRODUTOR,AP,"3,20","3,20","3,20","3,20","3,44","3,50","3,50","3,45","3,50","3,50","3,50","3,58"
CASTANHA DO BRASIL EM CASCA (hl),PRODUTOR,AP,"167,50","135,38","125,00","120,00","93,00","90,00","90,00","67,50","98,75","125,00","131,25","150,00"
LEITE DE VACA (l),PRODUTOR,AP,"1,78","1,80","1,80","1,80","2,12","2,20","2,20","2,25","2,30","2,30","2,30","2,30"
MILHO EM GRÃOS (60 kg),PRODUTOR,AP,,,,,,,,,,,,"51,40"
RAIZ DE MANDIOCA RAIZ (kg) (kg),PRODUTOR,AP,"1,80","1,80","1,80","1,80","2,04","2,10","2,10","2,15","2,15","2,15","2,15","2,20"
CAFÉ MOÍDO E TORRADO (500 g),VAREJO,AP,,,,,,,,,,,"6,72","6,72"
CARNE BOVINA PONTA DE AGULHA (kg),VAREJO,AP,,,,,,,,,,,"13,80","13,82"
CARNE DE FRANGO CONGELADO (kg),VAREJO,AP,,,,,,,,,,,"8,52","8,62"
FARINHA DE TRIGO COMUM (kg),VAREJO,AP,,,,,,,,,,,,"28,90"
LEITE DE VACA LONGA VIDA INTEGRAL (l),VAREJO,AP,,,,,,,,,,,"3,60","3,65"
MACARRÃO ESPAGUETE SÊMOLA COM OVOS (kg),VAREJO,AP,,,,,,,,,,,,"3,25"
OLEO DE SOJA REFINADO (900 ml),VAREJO,AP,,,,,,,,,,,"3,65","3,72"
ABACAXI (un),ATACADO,BA,"1,55","1,76","1,75","1,85","1,87","1,92","1,73","1,85","2,01","2,04","1,93","2,00"
ALHO (kg),ATACADO,BA,"9,88","9,85","10,54","12,38","11,10","11,75","9,57","9,72","10,54","11,29","12,07","11,92"
ARROZ LONGO FINO BENEFICIADO (60 kg),ATACADO,BA,"90,00","91,50","92,00","92,00","94,00","85,00","85,00","85,00","90,00","101,60","110,00","110,00"
ARROZ LONGO FINO BENEFICIADO TIPO 1 (10 kg),ATACADO,BA,,,,,,,,,,,,"22,42"
ARROZ LONGO FINO BENEFICIADO TIPO 2 (10 kg),ATACADO,BA,,,,,,,,,,,,"22,12"
AÇÚCAR CRISTAL (30 kg),ATACADO,BA,,,,,,,,,,,,"63,99"
BANANA NANICA (kg),ATACADO,BA,"1,56","1,44","1,44","1,57","1,58","1,37","1,40","1,40","1,38","1,42","1,55","1,82"
BANANA PRATA (kg),ATACADO,BA,"1,69","1,78","1,65","1,75","1,77","1,90","1,71","1,50","1,48","1,50","1,40","1,50"
BATATA INGLESA (kg),ATACADO,BA,"2,98","2,52","2,23","2,28","2,16","2,62","2,56","1,86","2,10","1,66","2,50","2,52"
BATATA-DOCE (kg),ATACADO,BA,"1,28","1,50","1,28","1,63","1,57","1,73","1,88","1,77","1,44","1,19","1,33","1,44"
CAFÉ ARÁBICA (60 kg),ATACADO,BA,"481,50","472,50",,,,,,,,,,
CAFÉ MOÍDO E TORRADO (5 kg),ATACADO,BA,,,,,,,,,,,,"62,15"
CAROÇO DE ALGODÃO (t),ATACADO,BA,"400,00","510,00","510,00","595,00","680,00","710,00","646,00","535,00","610,00","654,00","683,75","820,00"
CASTANHA DE CAJU EM CASCA (kg),ATACADO,BA,,,,,,,,,,,"4,00","4,00"
CEBOLA (kg),ATACADO,BA,"1,65","2,07","1,95","2,30","3,06","4,02","3,89","3,08","1,90","0,87","1,38","2,10"
COCO VERDE (un),ATACADO,BA,"0,94","1,01","0,86","1,06","1,09","1,08","0,94","0,97","0,98","0,97","1,11","1,17"
FARINHA DE MANDIOCA (50 kg),ATACADO,BA,"81,21","80,00",,,"62,50","70,00",,,,,,
FARINHA DE TRIGO ENRIQUECIDA TIPO 1 (25 kg),ATACADO,BA,,,,,,,,,,,,"52,07"
FEIJÃO CAUPI (60 kg),ATACADO,BA,"69,00","95,00","87,50","132,50","113,50","136,25","120,00","118,75","117,50","112,00","102,50","137,50"
FEIJÃO COMUM CORES (60 kg),ATACADO,BA,"135,85","151,25","157,71","143,13","145,94","131,88","148,50","145,21","145,00","146,88","157,81","196,88"
FEIJÃO COMUM PRETO TIPO 1 (10 kg),ATACADO,BA,,,,,,,,,,,,"41,27"
FLOCOS DE MILHO PRE-COZIDO (15 kg),ATACADO,BA,,,,,,,,,,,,"21,48"
